2019-09-27 21:54:42,135 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569610474.014417} - Response: {'action': 'echo', 'time': 1569610469.986195, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-27 21:54:48,624 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569610483.668586} - Response: {'action': 'timestamp', 'time': 1569610469.986195, 'code': 200, 'data': 1569610488.624327, 'key': None}
2019-09-27 21:55:14,175 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569610507.664382} - Response: {'action': 'server shutdown', 'time': 1569610469.986195, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-27 21:56:01,944 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569610559.445833} - Response: {'action': 'echo', 'time': 1569610554.604787, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-27 21:56:11,831 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569610565.290196} - Response: {'action': 'server shutdown', 'time': 1569610554.604787, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-27 22:00:00,359 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Test text', 'time': 1569610791.371283} - Response: {'action': 'echo', 'time': 1569610787.21241, 'code': 200, 'data': 'Test text', 'key': None}
2019-09-27 22:00:09,830 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'none', 'time': 1569610803.083946} - Response: {'action': 'timestamp', 'time': 1569610787.21241, 'code': 200, 'data': 1569610809.830892, 'key': None}
2019-09-27 22:00:51,431 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '1', 'time': 1569610845.1464} - Response: {'action': 'server shutdown', 'time': 1569610787.21241, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-27 22:01:00,591 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569610852.824855} - Response: {'action': 'server shutdown', 'time': 1569610787.21241, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 14:23:04,298 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569669744.328297} - Response: {'action': 'echo', 'time': 1569669734.136566, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 14:23:04,299 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'wqe', 'time': 1569669751.925968} - Response: {'action': 'timestamp', 'time': 1569669734.136566, 'code': 200, 'data': 1569669784.299349, 'key': None}
2019-09-28 14:24:13,139 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569669836.1612} - Response: {'action': 'server shutdown', 'time': 1569669734.136566, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 15:01:41,974 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569672099.140966} - Response: {'action': 'echo', 'time': 1569672094.410531, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 15:02:14,822 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569672117.968635} - Response: {'action': 'server shutdown', 'time': 1569672094.410531, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 15:31:08,987 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569673859.363428} - Response: {'action': 'echo', 'time': 1569673849.614416, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 15:37:17,754 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569674232.846922} - Response: {'action': 'echo', 'time': 1569674230.247876, 'code': 200, 'data': 'qwe', 'key': None}
